Object Un_lris Un_lris_err G_lris G_lris_err Rs_lris Rs_lris_err mosfire_J mosfire_J_err mosfire_H mosfire_H_err mosfire_Ks mosfire_Ks_err irac1 irac1_err irac2 irac2_err irac3 irac3_err f125w f125w_err f160w f160w_err Redshift
Q1549-SMG850.2 27.54 9999.0 26.39 0.26 25.45 0.1 23.95 0.1 22.33 0.1 21.99 0.1 9999.0 9999.0 20.23 0.1 9999 9999 24.32 0.1 22.82 0.1 2.83
Q1549-BX1 24.28 0.15 24.04 0.1 23.92 0.1 23.59 0.2 23.23 0.15 23.2 0.11 23.76 0.16 23.67 0.24 9999 9999 9999.0 9999.0 9999.0 9999.0 1.746
Q1549-BX101 23.67 0.12 22.89 0.1 22.65 0.1 21.4 0.1 21.01 0.1 20.69 0.1 9999.0 9999.0 20.43 0.1 9999 9999 9999.0 9999.0 9999.0 9999.0 2.381
Q1549-BX102 24.98 0.26 24.46 0.1 24.32 0.1 25.1 0.29 24.49 0.16 23.54 0.1 9999.0 9999.0 9999.0 9999.0 9999 9999 9999.0 9999.0 9999.0 9999.0 2.193
Q1549-BX103 26.45 9999.0 25.49 0.26 25.13 0.19 25.74 0.68 24.16 0.3 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999 9999 9999.0 9999.0 9999.0 9999.0 1.921
Q1549-BX104 25.62 0.41 24.96 0.14 24.7 0.11 24.13 0.27 23.76 0.2 23.71 0.14 9999.0 9999.0 23.08 0.16 9999 9999 9999.0 9999.0 9999.0 9999.0 2.075
Q1549-BX109 24.86 0.24 24.3 0.1 24.13 0.1 23.31 0.18 22.98 0.14 23.08 0.11 9999.0 9999.0 22.89 0.1 9999 9999 9999.0 9999.0 9999.0 9999.0 1.816
Q1549-BX113 24.26 0.19 23.66 0.1 23.5 0.1 22.68 0.13 22.33 0.1 22.44 0.1 9999.0 9999.0 22.3 0.1 9999 9999 9999.0 9999.0 9999.0 9999.0 2.081
Q1549-BX119 24.46 0.19 23.82 0.1 23.66 0.1 22.87 0.14 22.6 0.12 23.06 0.11 9999.0 9999.0 22.46 0.1 9999 9999 9999.0 9999.0 9999.0 9999.0 1.878
Q1549-BX121 26.14 0.66 25.31 0.19 25.04 0.15 25.25 0.46 25.74 0.47 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999 9999 9999.0 9999.0 9999.0 9999.0 2.498
Q1549-BX124 23.78 0.1 23.64 0.1 23.74 0.1 22.95 0.14 22.95 0.13 23.16 0.11 9999.0 9999.0 22.62 0.15 9999 9999 9999.0 9999.0 9999.0 9999.0 1.577
Q1549-BX126 25.61 0.42 24.63 0.11 24.42 0.1 23.73 0.21 23.1 0.15 23.23 0.11 9999.0 9999.0 23.01 0.15 9999 9999 9999.0 9999.0 9999.0 9999.0 2.382
Q1549-BX127 26.08 0.67 24.73 0.12 24.26 0.1 24.33 0.27 23.56 0.18 24.22 0.26 9999.0 9999.0 23.65 0.22 9999 9999 9999.0 9999.0 9999.0 9999.0 2.534
Q1549-BX128 25.07 0.24 24.56 0.1 24.36 0.1 23.35 0.17 22.98 0.13 22.97 0.1 9999.0 9999.0 22.3 0.1 9999 9999 9999.0 9999.0 9999.0 9999.0 1.805
Q1549-BX129 25.02 0.32 24.19 0.1 24.04 0.1 23.79 0.23 23.01 0.15 23.51 0.17 9999.0 9999.0 23.99 0.23 9999 9999 9999.0 9999.0 9999.0 9999.0 2.302
Q1549-BX13 24.7 0.2 24.33 0.1 24.2 0.1 23.28 0.18 23.16 0.16 22.9 0.1 9999.0 9999.0 22.67 0.1 9999 9999 9999.0 9999.0 9999.0 9999.0 1.89
Q1549-BX130 25.06 0.3 24.38 0.1 24.06 0.1 22.7 0.13 22.47 0.11 22.18 0.1 9999.0 9999.0 21.94 0.1 9999 9999 9999.0 9999.0 9999.0 9999.0 1.516
Q1549-BX131 26.11 0.56 25.53 0.2 25.34 0.17 24.31 0.29 24.11 0.24 23.99 0.18 9999.0 9999.0 23.99 0.21 9999 9999 9999.0 9999.0 9999.0 9999.0 2.047
Q1549-BX133 25.77 0.68 24.55 0.14 24.24 0.11 23.39 0.21 23.09 0.17 22.96 0.12 9999.0 9999.0 22.24 0.11 9999 9999 9999.0 9999.0 9999.0 9999.0 2.065
Q1549-BX137 24.71 0.27 24.03 0.1 23.55 0.1 22.1 0.1 21.56 0.1 21.45 0.1 9999.0 9999.0 20.64 0.1 9999 9999 9999.0 9999.0 9999.0 9999.0 1.462
Q1549-BX139 24.85 0.21 24.5 0.1 24.39 0.1 23.56 0.19 23.73 0.2 23.47 0.13 9999.0 9999.0 23.22 0.16 9999 9999 9999.0 9999.0 9999.0 9999.0 1.883
Q1549-BX14 26.82 9999.0 26.16 0.31 25.39 0.16 25.43 0.49 24.92 0.36 24.58 0.26 9999.0 9999.0 24.06 0.28 9999 9999 9999.0 9999.0 9999.0 9999.0 2.875
Q1549-BX156 25.15 0.34 24.52 0.12 24.19 0.1 22.93 0.15 22.78 0.12 22.63 0.1 9999.0 9999.0 22.13 0.1 9999 9999 23.17 0.05 23.14 0.05 1.666
Q1549-BX157 25.18 0.33 24.33 0.1 24.11 0.1 23.06 0.16 22.92 0.14 22.6 0.1 9999.0 9999.0 22.03 0.1 9999 9999 9999.0 9999.0 9999.0 9999.0 1.872
Q1549-BX161 26.03 0.82 24.91 0.18 24.38 0.11 23.53 0.21 22.24 0.11 22.03 0.1 9999.0 9999.0 21.37 0.1 9999 9999 9999.0 9999.0 9999.0 9999.0 2.503
Q1549-BX162 24.17 0.15 23.82 0.1 23.65 0.1 22.6 0.12 22.33 0.1 22.5 0.1 9999.0 9999.0 22.18 0.1 9999 9999 9999.0 9999.0 9999.0 9999.0 1.579
Q1549-BX164 24.87 0.23 24.42 0.1 24.21 0.1 22.88 0.14 22.43 0.11 22.71 0.1 9999.0 9999.0 21.99 0.1 9999 9999 23.15 0.05 23.04 0.05 1.579
Q1549-BX170 25.2 0.34 24.57 0.12 24.43 0.1 24.05 0.26 23.86 0.2 23.97 0.18 9999.0 9999.0 23.91 0.38 9999 9999 9999.0 9999.0 9999.0 9999.0 2.384
Q1549-BX171 23.94 0.13 23.46 0.1 23.24 0.1 22.16 0.1 21.87 0.1 21.75 0.1 9999.0 9999.0 20.91 0.1 9999 9999 9999.0 9999.0 9999.0 9999.0 1.804
Q1549-BX173 24.29 0.17 23.83 0.1 23.52 0.1 22.42 0.11 22.06 0.1 21.89 0.1 9999.0 9999.0 21.57 0.1 9999 9999 22.62 0.05 22.65 0.05 1.671
Q1549-BX175 25.07 0.25 24.44 0.1 24.39 0.1 24.09 0.25 23.71 0.2 23.73 0.16 9999.0 9999.0 23.76 0.26 9999 9999 24.03 0.05 23.62 0.05 2.344
Q1549-BX179 24.48 0.19 24.06 0.1 23.91 0.1 22.68 0.13 22.46 0.1 22.54 0.1 9999.0 9999.0 22.2 0.1 9999 9999 9999.0 9999.0 9999.0 9999.0 1.63
