Object Un_lris Un_lris_err G_lris G_lris_err Rs_lris Rs_lris_err mosfire_J mosfire_J_err mosfire_H mosfire_H_err mosfire_Ks mosfire_Ks_err irac1 irac1_err irac2 irac2_err f140w f140w_err f160w f160w_err Redshift
Q0105-BX144 26.15 0.49 25.55 0.18 25.29 0.23 23.85 0.1 23.61 0.1 22.73 0.1 22.36 0.1 22.32 0.22 9999.0 9999.0 9999 9999.0 1.767
Q0105-BX145 26.62 9999.0 25.81 0.24 25.48 0.24 24.49 0.1 24.49 0.16 23.83 0.1 10.88 0.0 9999.0 9999.0 9999.0 9999.0 9999 9999.0 2.484
Q0105-BX147 25.75 0.3 25.15 0.11 25.09 0.16 25.2 0.1 24.77 0.1 24.43 0.1 9999.0 9999.0 9999.0 9999.0 24.24 0.1 9999 9999.0 2.386
Q0105-BX148 25.14 0.24 24.19 0.1 23.84 0.07 23.12 0.1 22.45 0.1 22.58 0.1 22.6 0.1 9999.0 9999.0 9999.0 9999.0 9999 9999.0 2.361
Q0105-BX149 25.08 0.23 24.53 0.1 24.31 0.11 23.13 0.1 22.56 0.1 22.52 0.1 22.09 0.1 9999.0 9999.0 9999.0 9999.0 9999 9999.0 1.761
Q0105-BX150 25.33 0.26 24.91 0.11 24.67 0.14 23.51 0.1 22.87 0.1 22.92 0.1 22.56 0.11 9999.0 9999.0 9999.0 9999.0 9999 9999.0 1.619
Q0105-BX153 25.77 0.5 25.0 0.15 24.57 0.15 24.35 0.1 23.58 0.1 23.5 0.1 9999.0 9999.0 22.81 0.32 9999.0 9999.0 9999 9999.0 2.47
Q0105-BX155 24.93 0.3 24.52 0.13 24.24 0.12 22.91 0.1 22.25 0.1 22.37 0.1 23.04 0.13 9999.0 9999.0 9999.0 9999.0 9999 9999.0 1.924
Q0105-BX158 24.82 0.2 24.43 0.1 24.33 0.12 23.4 0.1 23.01 0.1 22.66 0.1 22.31 0.1 22.75 0.54 9999.0 9999.0 9999 9999.0 1.616
Q0105-BX159 24.77 0.21 23.7 0.1 23.26 0.05 22.54 0.1 21.8 0.1 21.55 0.1 21.3 0.1 9999.0 9999.0 22.23 0.1 9999 9999.0 2.125
Q0105-BX16 24.39 0.17 23.48 0.1 23.2 0.05 22.78 0.1 22.61 0.1 22.81 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999 9999.0 1.859
Q0105-BX160 24.4 0.13 23.9 0.1 23.78 0.07 23.34 0.1 22.98 0.1 22.62 0.1 23.25 0.23 9999.0 9999.0 9999.0 9999.0 9999 9999.0 2.02
Q0105-BX162 26.27 0.54 25.43 0.16 25.14 0.21 24.19 0.1 23.39 0.1 23.29 0.1 22.6 0.1 9999.0 9999.0 23.82 0.1 9999 9999.0 2.029
Q0105-BX163 25.61 0.34 25.07 0.13 24.84 0.16 24.4 0.1 24.21 0.1 23.43 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999 9999.0 2.291
Q0105-BX166 25.48 0.27 24.77 0.1 24.6 0.12 23.93 0.1 23.56 0.1 23.31 0.1 9999.0 9999.0 9999.0 9999.0 23.84 0.1 9999 9999.0 2.269
Q0105-BX167 24.88 0.16 24.44 0.1 24.42 0.1 24.11 0.1 25.1 0.1 23.92 0.1 23.9 0.39 9999.0 9999.0 24.21 0.1 9999 9999.0 2.271
Q0105-BX169 25.19 0.33 24.31 0.1 23.97 0.11 23.08 0.1 22.31 0.1 21.72 0.1 21.53 0.1 9999.0 9999.0 9999.0 9999.0 9999 9999.0 2.291
Q0105-BX171 24.34 0.13 23.92 0.1 23.82 0.08 23.31 0.1 22.92 0.1 22.63 0.1 22.63 0.1 9999.0 9999.0 9999.0 9999.0 9999 9999.0 2.036
Q0105-BX172 26.35 0.55 25.62 0.18 25.36 0.22 25.13 0.11 26.81 0.42 24.99 0.1 9999.0 9999.0 9999.0 9999.0 24.72 0.1 9999 9999.0 2.267
Q0105-BX176 25.72 0.36 25.43 0.17 25.35 0.2 24.62 0.1 24.21 0.13 24.32 0.1 24.86 0.45 9999.0 9999.0 24.39 0.1 9999 9999.0 1.672
Q0105-BX178 24.7 0.16 24.52 0.1 24.53 0.13 23.5 0.1 23.03 0.1 22.9 0.1 22.69 0.12 9999.0 9999.0 9999.0 9999.0 9999 9999.0 1.463
Q0105-BX179 26.5 0.8 25.43 0.19 24.98 0.18 23.79 0.1 23.38 0.1 23.24 0.1 22.65 0.1 9999.0 9999.0 23.66 0.1 9999 9999.0 1.984
Q0105-BX18 26.3 0.59 25.19 0.13 24.83 0.14 23.96 0.1 23.17 0.1 22.93 0.1 22.58 0.2 9999.0 9999.0 9999.0 9999.0 9999 9999.0 2.205
Q0105-BX180 25.81 0.48 25.06 0.15 24.81 0.16 24.28 0.1 23.54 0.1 24.54 0.15 23.85 0.2 9999.0 9999.0 24.27 0.1 9999 9999.0 2.03
Q0105-BX181 25.82 0.37 24.85 0.1 24.59 0.12 23.83 0.1 22.96 0.1 23.09 0.1 22.74 0.1 9999.0 9999.0 9999.0 9999.0 9999 9999.0 2.266
Q0105-BX182 26.23 0.61 25.31 0.16 24.98 0.18 24.53 0.1 23.98 0.11 23.7 0.1 23.53 0.14 9999.0 9999.0 24.43 0.1 9999 9999.0 1.995
Q0105-BX183 25.5 0.46 24.68 0.14 24.23 0.13 24.41 0.11 24.07 0.18 23.77 0.1 22.09 0.11 9999.0 9999.0 24.73 0.1 9999 9999.0 2.655
Q0105-BX184 26.47 0.56 25.68 0.17 25.61 0.27 24.81 0.1 24.11 0.1 24.64 0.11 24.22 0.54 9999.0 9999.0 9999.0 9999.0 9999 9999.0 2.295
Q0105-BX186 25.8 0.36 25.13 0.12 25.05 0.2 24.07 0.1 22.84 0.1 23.01 0.1 22.08 0.1 9999.0 9999.0 9999.0 9999.0 9999 9999.0 2.2
Q0105-BX187 25.65 0.35 24.8 0.1 24.68 0.14 24.01 0.1 23.68 0.1 23.8 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999 9999.0 2.2
Q0105-BX188 25.33 0.31 25.43 0.21 24.99 0.24 24.25 0.1 22.82 0.1 23.31 0.1 21.93 0.21 9999.0 9999.0 9999.0 9999.0 9999 9999.0 2.202
Q0105-BX189 25.11 0.19 24.99 0.11 25.11 0.19 24.18 0.1 23.96 0.1 24.35 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999 9999.0 2.296
Q0105-BX190 25.61 0.33 25.32 0.16 25.25 0.2 23.98 0.1 24.29 0.14 23.8 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999 9999.0 1.589
Q0105-BX193 25.79 0.37 25.21 0.14 24.82 0.14 24.72 0.1 23.47 0.1 23.6 0.1 23.71 0.31 9999.0 9999.0 9999.0 9999.0 9999 9999.0 2.273
Q0105-BX2 24.78 0.19 24.03 0.1 23.75 0.07 23.17 0.1 22.62 0.1 22.96 0.1 22.26 0.21 9999.0 9999.0 9999.0 9999.0 9999 9999.0 1.967
Q0105-BX20 25.33 0.25 24.42 0.1 24.08 0.08 23.58 0.1 22.87 0.1 22.69 0.1 22.51 0.1 9999.0 9999.0 9999.0 9999.0 9999 9999.0 2.229
Q0105-BX22 26.57 0.75 25.24 0.14 24.91 0.14 24.49 0.1 23.79 0.1 24.4 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999 9999.0 2.151
Q0105-BX24 26.49 0.71 25.2 0.13 24.85 0.16 24.3 0.1 24.24 0.13 23.71 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999 9999.0 2.336
Q0105-BX25 26.08 0.51 25.07 0.13 24.68 0.13 24.06 0.1 24.17 0.1 23.6 0.1 23.17 0.13 9999.0 9999.0 9999.0 9999.0 9999 9999.0 2.354
Q0105-BX28 23.39 0.1 23.0 0.1 22.91 0.04 22.44 0.1 22.03 0.1 22.27 0.1 21.76 0.1 9999.0 9999.0 9999.0 9999.0 9999 9999.0 1.939
Q0105-BX29 24.68 0.15 24.21 0.1 24.09 0.08 23.16 0.1 22.8 0.1 22.79 0.1 22.54 0.2 9999.0 9999.0 9999.0 9999.0 9999 9999.0 1.665
Q0105-BX3 26.36 0.55 25.45 0.15 25.38 0.21 24.51 0.1 24.62 0.16 24.65 0.12 23.27 0.53 9999.0 9999.0 9999.0 9999.0 9999 9999.0 2.486
Q0105-BX31 25.63 0.4 24.88 0.13 24.28 0.1 23.02 0.1 22.28 0.1 22.07 0.1 21.52 0.1 9999.0 9999.0 9999.0 9999.0 9999 9999.0 1.65
Q0105-BX34 24.83 0.21 24.23 0.1 23.96 0.09 23.48 0.1 22.42 0.1 22.67 0.1 22.74 0.16 9999.0 9999.0 9999.0 9999.0 9999 9999.0 1.974
Q0105-BX35 25.4 0.29 24.8 0.1 24.47 0.12 23.39 0.1 23.22 0.1 22.83 0.1 22.52 0.1 9999.0 9999.0 9999.0 9999.0 9999 9999.0 2.291
Q0105-BX43 25.29 0.29 24.37 0.1 24.19 0.1 23.68 0.1 22.7 0.1 23.06 0.1 22.99 0.2 9999.0 9999.0 9999.0 9999.0 9999 9999.0 2.267
Q0105-BX44 25.79 0.4 25.03 0.12 24.92 0.16 24.51 0.1 23.56 0.1 23.27 0.1 23.14 0.1 9999.0 9999.0 9999.0 9999.0 9999 9999.0 2.057
Q0105-BX45 25.8 0.34 25.17 0.12 25.0 0.15 24.58 0.1 23.76 0.1 23.96 0.1 23.64 0.33 9999.0 9999.0 9999.0 9999.0 9999 9999.0 2.064
Q0105-BX47 24.3 0.16 23.74 0.1 23.54 0.08 22.65 0.1 22.1 0.1 22.0 0.1 21.87 0.1 9999.0 9999.0 9999.0 9999.0 9999 9999.0 1.72
Q0105-BX48 26.14 0.58 24.64 0.1 24.03 0.08 23.29 0.1 22.43 0.1 22.27 0.1 22.08 0.11 9999.0 9999.0 9999.0 9999.0 9999 9999.0 2.383
Q0105-BX49 25.94 0.44 25.19 0.14 24.88 0.14 24.53 0.1 23.66 0.1 23.74 0.1 23.82 0.21 9999.0 9999.0 9999.0 9999.0 9999 9999.0 2.114
Q0105-BX5 26.46 9999.0 25.69 0.21 25.22 0.22 24.73 0.1 24.64 0.18 23.51 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999 9999.0 2.435
Q0105-BX50 26.62 0.97 24.99 0.14 24.34 0.12 24.07 0.1 22.84 0.1 22.94 0.1 22.79 0.1 9999.0 9999.0 9999.0 9999.0 9999 9999.0 2.653
Q0105-BX51 26.19 0.56 25.6 0.2 25.42 0.23 24.27 0.1 23.41 0.1 24.07 0.1 23.5 0.12 9999.0 9999.0 9999.0 9999.0 9999 9999.0 2.655
Q0105-BX52 25.83 0.46 25.05 0.14 24.52 0.14 23.27 0.1 22.4 0.1 22.07 0.1 21.34 0.1 9999.0 9999.0 9999.0 9999.0 9999 9999.0 1.972
Q0105-BX53 25.32 0.3 24.66 0.1 24.2 0.1 23.36 0.1 22.9 0.1 22.68 0.1 22.43 0.1 9999.0 9999.0 9999.0 9999.0 9999 9999.0 2.209
Q0105-BX54 25.77 0.37 24.92 0.11 24.56 0.11 23.75 0.1 23.77 0.1 23.12 0.1 22.97 0.1 9999.0 9999.0 9999.0 9999.0 9999 9999.0 1.972
Q0105-BX55 24.96 0.2 24.46 0.1 24.29 0.1 24.01 0.1 23.26 0.1 23.75 0.1 23.5 0.15 9999.0 9999.0 24.02 0.1 9999 9999.0 2.058
Q0105-BX57 25.46 0.27 24.64 0.1 24.34 0.1 23.8 0.1 22.94 0.1 23.2 0.1 22.92 0.16 9999.0 9999.0 9999.0 9999.0 9999 9999.0 2.259
Q0105-BX58 24.37 0.13 23.64 0.1 23.41 0.05 23.07 0.1 22.6 0.1 22.5 0.1 21.85 0.1 9999.0 9999.0 9999.0 9999.0 9999 9999.0 2.535
Q0105-BX61 25.49 0.34 24.71 0.1 24.2 0.1 23.54 0.1 23.54 0.1 22.88 0.1 23.28 0.24 9999.0 9999.0 9999.0 9999.0 9999 9999.0 1.994
Q0105-BX64 26.71 9999.0 25.66 0.25 25.05 0.2 24.42 0.1 23.78 0.1 24.48 0.14 23.77 0.35 9999.0 9999.0 25.64 0.12 9999 9999.0 2.119
Q0105-BX67 26.26 0.54 25.37 0.15 25.16 0.18 24.18 0.1 23.81 0.1 23.64 0.1 23.4 0.12 9999.0 9999.0 9999.0 9999.0 9999 9999.0 2.036
Q0105-BX69 25.35 0.23 24.86 0.1 24.87 0.16 24.26 0.1 23.27 0.1 23.56 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999 9999.0 2.264
Q0105-BX70 26.13 0.48 25.24 0.13 25.19 0.19 24.53 0.1 24.12 0.11 24.0 0.1 24.49 0.45 9999.0 9999.0 9999.0 9999.0 9999 9999.0 2.312
Q0105-BX72 26.31 0.48 25.63 0.16 25.3 0.19 24.28 0.1 23.9 0.1 24.13 0.1 23.69 0.15 9999.0 9999.0 9999.0 9999.0 9999 9999.0 2.415
Q0105-BX74 25.1 0.28 24.09 0.1 23.63 0.07 22.2 0.1 21.5 0.1 21.19 0.1 20.57 0.1 9999.0 9999.0 9999.0 9999.0 9999 9999.0 1.478
Q0105-BX75 26.28 0.53 25.61 0.18 25.4 0.22 24.96 0.1 24.24 0.1 25.2 0.15 9999.0 9999.0 9999.0 9999.0 24.67 0.1 9999 9999.0 2.123
Q0105-BX77 26.32 0.59 25.54 0.18 25.3 0.22 24.59 0.1 25.08 0.13 24.29 0.1 9999.0 9999.0 9999.0 9999.0 24.82 0.1 9999 9999.0 2.293
Q0105-BX78 25.8 0.46 25.16 0.16 24.78 0.17 23.34 0.1 22.52 0.1 22.49 0.1 22.05 0.1 9999.0 9999.0 9999.0 9999.0 9999 9999.0 2.001
Q0105-BX79 25.97 0.46 25.13 0.13 24.8 0.14 24.08 0.1 23.17 0.1 22.8 0.1 22.32 0.1 9999.0 9999.0 23.75 0.1 9999 9999.0 2.123
Q0105-BX81 26.11 0.46 25.49 0.16 25.16 0.18 24.67 0.1 23.4 0.1 23.57 0.1 22.98 0.11 9999.0 9999.0 9999.0 9999.0 9999 9999.0 2.275
Q0105-BX84 25.66 0.38 24.78 0.1 24.54 0.13 24.61 0.1 23.37 0.1 23.22 0.1 22.94 0.18 9999.0 9999.0 9999.0 9999.0 9999 9999.0 2.246
Q0105-BX85 26.86 9999.0 25.98 0.23 25.41 0.2 24.05 0.1 23.33 0.1 23.1 0.1 22.51 0.1 9999.0 9999.0 23.42 0.1 9999 9999.0 2.271
Q0105-BX86 26.33 0.55 25.43 0.15 25.15 0.17 24.42 0.1 24.01 0.1 24.03 0.1 23.56 0.29 9999.0 9999.0 24.18 0.1 9999 9999.0 1.993
Q0105-BX87 24.13 0.11 23.45 0.1 23.1 0.04 22.05 0.1 21.38 0.1 21.48 0.1 20.8 0.1 9999.0 9999.0 22.03 0.1 9999 9999.0 1.628
Q0105-BX88 24.58 0.15 24.06 0.1 23.99 0.15 22.92 0.1 22.47 0.1 22.28 0.1 21.03 0.1 9999.0 9999.0 22.59 0.1 9999 9999.0 2.028
