Object Un_lris Un_lris_err G_lris G_lris_err Rs_lris Rs_lris_err mosfire_J mosfire_J_err mosfire_Ks mosfire_Ks_err irac1 irac1_err irac2 irac2_err f140w f140w_err Redshift
Q0821-BX186 26.6 0.18 25.16 0.16 24.79 0.1 23.97 0.1 23.32 0.1 23.48 0.16 9999.0 9999.0 9999.0 9999.0 2.353
Q0821-BX187 25.35 0.1 24.61 0.11 24.28 0.1 23.01 0.1 22.36 0.1 21.82 0.1 9999.0 9999.0 9999.0 9999.0 1.849
Q0821-BX189 25.49 0.1 24.46 0.1 24.26 0.1 23.1 0.1 22.41 0.1 22.11 0.1 9999.0 9999.0 9999.0 9999.0 2.22
Q0821-BX19 26.55 0.17 25.59 0.24 25.04 0.1 24.47 0.1 23.98 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.334
Q0821-BX191 26.75 0.2 24.96 0.13 24.5 0.1 24.02 0.1 23.25 0.1 23.14 0.17 9999.0 9999.0 23.8 0.1 2.631
Q0821-BX194 25.01 0.1 24.1 0.1 24.03 0.1 23.32 0.1 23.04 0.1 22.41 0.18 9999.0 9999.0 24.26 0.1 2.22
Q0821-BX200 24.94 0.1 24.01 0.1 23.98 0.1 23.45 0.1 22.96 0.1 22.85 0.11 9999.0 9999.0 9999.0 9999.0 2.186
Q0821-BX203 26.05 0.1 25.52 0.18 25.43 0.1 24.82 0.1 24.89 0.11 24.16 0.42 9999.0 9999.0 24.92 0.1 2.22
Q0821-BX207 25.42 0.1 24.41 0.1 24.15 0.1 23.98 0.1 23.37 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.413
Q0821-BX208 25.69 0.1 24.64 0.1 24.44 0.1 23.71 0.1 23.21 0.1 22.89 0.1 9999.0 9999.0 9999.0 9999.0 2.355
Q0821-BX210 24.66 0.1 24.36 0.1 24.38 0.1 24.13 0.1 24.04 0.1 23.71 0.25 9999.0 9999.0 24.43 0.1 2.151
Q0821-BX212 25.45 0.1 25.05 0.15 25.14 0.1 23.93 0.1 24.12 0.1 9999.0 9999.0 9999.0 9999.0 23.7 0.1 1.681
Q0821-BX216 24.59 0.1 23.99 0.1 23.59 0.1 23.15 0.1 23.79 0.11 21.58 0.12 9999.0 9999.0 24.78 0.1 2.639
Q0821-BX217 26.64 0.19 25.27 0.19 25.01 0.1 24.73 0.1 24.19 0.1 23.28 0.3 9999.0 9999.0 9999.0 9999.0 2.549
Q0821-BX220 26.5 0.21 25.13 0.21 24.79 0.1 24.88 0.13 23.73 0.1 23.51 0.42 9999.0 9999.0 23.81 0.1 2.626
Q0821-BX221 25.72 0.1 25.07 0.14 24.92 0.1 24.35 0.1 24.12 0.1 22.52 0.22 9999.0 9999.0 24.56 0.1 2.396
Q0821-BX222 25.44 0.1 24.5 0.1 24.43 0.1 23.45 0.1 22.81 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.0
Q0821-BX236 24.77 0.1 24.01 0.1 24.3 0.1 23.85 0.1 22.62 0.1 22.79 0.19 9999.0 9999.0 9999.0 9999.0 1.946
Q0821-BX237 25.86 0.11 25.15 0.19 24.78 0.1 23.06 0.1 22.77 0.1 21.97 0.1 9999.0 9999.0 9999.0 9999.0 1.661
Q0821-BX238 24.04 0.1 23.63 0.1 23.62 0.1 23.48 0.1 23.29 0.1 22.47 0.1 9999.0 9999.0 9999.0 9999.0 1.794
Q0821-BX241 25.4 0.1 24.45 0.11 24.3 0.1 23.1 0.1 22.71 0.1 23.09 0.27 9999.0 9999.0 9999.0 9999.0 2.001
Q0821-BX246 24.87 0.1 24.14 0.1 23.89 0.1 23.19 0.1 22.47 0.1 21.87 0.1 9999.0 9999.0 9999.0 9999.0 2.411
Q0821-BX28 24.49 0.1 23.93 0.1 24.19 0.1 23.93 0.1 24.39 0.16 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.251
Q0821-BX29 24.68 0.1 24.16 0.1 23.92 0.1 23.19 0.1 22.88 0.1 22.11 0.1 9999.0 9999.0 9999.0 9999.0 1.718
Q0821-BX3 26.19 0.1 25.11 0.12 24.75 0.1 99.0 9999.0 99.0 9999.0 22.8 0.4 9999.0 9999.0 9999.0 9999.0 2.442
Q0821-BX30 26.06 0.1 25.2 0.16 24.81 0.1 24.01 0.1 23.15 0.1 22.78 0.13 9999.0 9999.0 9999.0 9999.0 2.247
Q0821-BX31 25.65 0.1 24.61 0.11 24.38 0.1 23.48 0.1 22.7 0.1 22.6 0.4 21.66 0.14 9999.0 9999.0 2.183
Q0821-BX33 26.47 0.14 25.42 0.19 25.05 0.1 24.79 0.1 23.91 0.1 9999.0 9999.0 22.25 0.38 9999.0 9999.0 2.443
Q0821-BX34 25.75 0.1 24.97 0.13 24.7 0.1 23.77 0.1 23.33 0.1 22.84 0.17 9999.0 9999.0 9999.0 9999.0 1.854
Q0821-BX35 26.56 0.15 25.56 0.21 25.23 0.1 25.32 0.14 25.96 0.36 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 1.659
Q0821-BX36 26.36 0.13 25.13 0.14 24.74 0.1 25.32 0.16 25.1 0.19 23.84 0.29 9999.0 9999.0 9999.0 9999.0 2.696
Q0821-BX38 26.86 0.29 25.59 0.31 25.43 0.12 24.37 0.1 23.08 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.184
Q0821-BX39 25.09 0.1 24.46 0.1 24.28 0.1 23.43 0.1 23.38 0.1 22.73 0.21 9999.0 9999.0 9999.0 9999.0 1.867
Q0821-BX40 24.27 0.1 23.54 0.1 23.1 0.1 22.88 0.1 22.94 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.663
Q0821-BX41 24.55 0.1 23.97 0.1 23.74 0.1 23.2 0.1 22.89 0.1 22.63 0.13 9999.0 9999.0 9999.0 9999.0 1.83
Q0821-BX42 24.29 0.1 23.54 0.1 23.42 0.1 22.22 0.1 21.58 0.1 20.85 0.1 20.58 0.1 9999.0 9999.0 1.831
Q0821-BX45 24.55 0.1 23.63 0.1 23.37 0.1 22.42 0.1 21.92 0.1 21.92 0.1 21.65 0.28 9999.0 9999.0 2.18
Q0821-BX47 24.84 0.1 23.82 0.1 23.89 0.1 24.38 0.12 24.85 0.18 23.29 0.43 9999.0 9999.0 9999.0 9999.0 2.461
Q0821-BX49 26.14 0.1 25.4 0.15 25.11 0.1 24.64 0.1 24.62 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.336
Q0821-BX52 26.17 0.11 25.49 0.21 25.11 0.1 24.23 0.1 23.2 0.1 22.76 0.11 9999.0 9999.0 9999.0 9999.0 2.177
Q0821-BX55 26.96 0.27 25.5 0.25 25.15 0.1 24.87 0.11 23.77 0.1 22.33 0.1 9999.0 9999.0 9999.0 9999.0 2.62
Q0821-BX60 25.41 0.1 24.52 0.11 24.09 0.1 22.44 0.1 22.57 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 1.964
Q0821-BX61 26.07 0.1 25.31 0.16 25.24 0.1 24.94 0.1 24.15 0.1 24.62 0.33 9999.0 9999.0 9999.0 9999.0 2.352
Q0821-BX62 24.76 0.1 23.96 0.1 23.9 0.1 22.53 0.1 22.29 0.1 22.47 0.21 9999.0 9999.0 9999.0 9999.0 1.854
Q0821-BX63 24.9 0.1 24.45 0.1 24.33 0.1 23.51 0.1 23.56 0.1 9999.0 9999.0 21.49 0.22 9999.0 9999.0 1.919
Q0821-BX64 26.58 0.15 25.68 0.22 25.35 0.1 25.25 0.12 24.33 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.402
Q0821-BX65 25.58 0.1 24.46 0.11 24.34 0.1 24.06 0.1 25.65 0.37 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.58
Q0821-BX66 25.39 0.1 23.86 0.1 23.17 0.1 22.64 0.1 21.92 0.1 21.43 0.4 9999.0 9999.0 9999.0 9999.0 2.625
Q0821-BX67 24.07 0.1 23.52 0.1 23.24 0.1 22.21 0.1 21.78 0.1 21.73 0.14 9999.0 9999.0 9999.0 9999.0 1.719
Q0821-BX70 26.11 0.1 25.27 0.13 24.84 0.1 24.93 0.11 25.55 0.27 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.471
Q0821-BX71 25.1 0.1 24.43 0.1 24.13 0.1 23.6 0.1 23.31 0.1 23.38 0.2 9999.0 9999.0 9999.0 9999.0 2.552
Q0821-BX72 26.48 0.24 25.24 0.27 25.36 0.14 24.42 0.1 22.95 0.1 21.86 0.1 21.25 0.18 9999.0 9999.0 2.351
Q0821-BX73 25.97 0.11 25.19 0.18 25.05 0.1 24.1 0.1 23.76 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.609
Q0821-BX76 25.17 0.1 24.55 0.1 24.38 0.1 24.08 0.1 23.95 0.1 23.94 0.33 9999.0 9999.0 9999.0 9999.0 2.552
