Object Un_lris Un_lris_err G_lris G_lris_err Rs_lris Rs_lris_err mosfire_J mosfire_J_err mosfire_Ks mosfire_Ks_err irac1 irac1_err irac2 irac2_err f140w f140w_err f160w f160w_err Redshift
Q1217-BX10 24.92 0.29 24.4 0.1 24.25 0.1 23.59 0.1 23.0 0.1 22.75 0.21 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.174
Q1217-BX100 24.82 0.31 24.48 0.1 24.25 0.1 23.56 0.1 23.39 0.1 23.43 0.26 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 1.655
Q1217-BX101 25.33 0.56 24.48 0.1 24.13 0.1 23.77 0.1 23.19 0.1 22.67 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.399
Q1217-BX102 25.53 0.48 24.84 0.1 24.74 0.1 24.41 0.1 23.96 0.1 23.64 0.11 9999.0 9999.0 23.87 0.1 23.99 0.1 2.194
Q1217-BX107 24.63 0.26 24.39 0.1 24.15 0.1 22.72 0.1 22.39 0.1 21.89 0.1 9999.0 9999.0 22.73 0.1 22.5 0.1 1.541
Q1217-BX109 25.62 0.51 25.3 0.1 25.08 0.1 24.94 0.1 24.75 0.1 23.93 0.22 9999.0 9999.0 24.66 0.1 24.4 0.1 1.521
Q1217-BX111 23.55 0.12 23.23 0.1 23.16 0.1 22.39 0.1 22.59 0.1 22.15 0.1 9999.0 9999.0 22.58 0.1 9999.0 9999.0 1.444
Q1217-BX113 24.76 0.31 23.95 0.1 23.9 0.1 23.2 0.1 23.09 0.1 23.08 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 1.941
Q1217-BX114 25.06 0.3 24.83 0.1 24.82 0.1 24.04 0.1 24.49 0.1 24.06 0.43 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 1.692
Q1217-BX115 25.23 0.34 25.0 0.1 24.86 0.1 24.05 0.1 24.03 0.1 9999.0 9999.0 9999.0 9999.0 23.79 0.1 23.61 0.1 1.796
Q1217-BX116 26.01 0.61 25.51 0.1 25.38 0.1 25.74 0.1 25.62 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 25.49 0.1 2.194
Q1217-BX118 25.78 0.8 24.55 0.1 24.04 0.1 24.01 0.1 24.17 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.227
Q1217-BX119 25.42 0.47 24.76 0.1 24.48 0.1 23.13 0.1 22.42 0.1 21.27 0.1 9999.0 9999.0 22.62 0.1 22.51 0.1 1.985
Q1217-BX121 24.76 0.25 24.19 0.1 24.02 0.1 23.63 0.1 23.24 0.1 23.58 0.11 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.226
Q1217-BX123 24.34 0.14 23.89 0.1 23.93 0.1 22.74 0.1 22.55 0.1 22.62 0.1 9999.0 9999.0 23.25 0.1 9999.0 9999.0 1.027
Q1217-BX124 26.61 9999.0 25.66 0.1 25.02 0.1 23.72 0.1 22.52 0.1 21.35 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.406
Q1217-BX125 24.18 0.17 24.01 0.1 23.77 0.1 22.78 0.1 22.67 0.1 21.94 0.1 9999.0 9999.0 22.65 0.1 22.63 0.1 1.921
Q1217-BX126 23.49 0.13 22.95 0.1 22.76 0.1 22.26 0.1 22.25 0.1 21.89 0.1 9999.0 9999.0 22.58 0.1 22.32 0.1 1.735
Q1217-BX129 24.17 0.23 23.42 0.1 23.06 0.1 21.95 0.1 21.55 0.1 21.1 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 1.735
Q1217-BX13 24.55 0.26 23.99 0.1 23.75 0.1 23.02 0.1 22.64 0.1 22.44 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.174
Q1217-BX132 25.89 0.73 25.08 0.1 24.55 0.1 24.84 0.1 24.47 0.1 9999.0 9999.0 9999.0 9999.0 24.88 0.1 24.79 0.1 2.609
Q1217-BX133 26.09 9999.0 25.33 0.1 25.37 0.1 24.8 0.1 24.2 0.1 23.29 0.22 9999.0 9999.0 24.1 0.1 23.93 0.1 2.105
Q1217-BX135 24.36 0.24 23.83 0.1 23.6 0.1 22.93 0.1 22.84 0.1 22.12 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 1.39
Q1217-BX137 23.67 0.14 23.3 0.1 23.26 0.1 22.87 0.1 22.83 0.1 10.89 0.0 9999.0 9999.0 23.27 0.1 23.1 0.1 1.913
Q1217-BX138 25.12 0.38 24.76 0.1 24.5 0.1 23.83 0.1 23.55 0.1 22.77 0.17 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 1.788
Q1217-BX140 25.62 0.49 24.63 0.1 24.62 0.1 24.07 0.1 24.02 0.1 24.66 0.51 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.434
Q1217-BX141 26.16 0.85 25.18 0.1 25.07 0.1 24.55 0.1 24.57 0.1 24.05 0.17 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.426
Q1217-BX146 26.03 0.72 25.26 0.1 25.04 0.1 23.78 0.1 23.01 0.1 22.51 0.1 9999.0 9999.0 23.67 0.1 23.13 0.1 2.11
Q1217-BX147 25.08 0.48 24.24 0.1 23.78 0.1 23.92 0.1 23.96 0.1 24.42 0.34 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.681
Q1217-BX148 25.67 0.44 25.39 0.1 25.33 0.1 24.42 0.1 24.13 0.1 23.41 0.1 9999.0 9999.0 24.07 0.1 24.15 0.1 1.761
Q1217-BX15 24.75 0.29 24.19 0.1 24.04 0.1 22.45 0.1 21.59 0.1 20.68 0.1 20.46 0.1 9999.0 9999.0 9999.0 9999.0 1.872
Q1217-BX154 23.47 0.13 23.14 0.1 23.09 0.1 22.43 0.1 22.13 0.1 22.27 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 1.735
Q1217-BX156 25.65 0.6 24.9 0.1 24.77 0.1 24.3 0.1 23.98 0.1 23.72 0.31 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.082
Q1217-BX157 24.63 0.18 24.61 0.1 24.88 0.1 24.52 0.1 24.53 0.1 28.53 0.51 9999.0 9999.0 24.2 0.1 9999.0 9999.0 2.033
Q1217-BX160 24.17 0.15 23.86 0.1 23.82 0.1 23.0 0.1 22.89 0.1 22.35 0.12 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 1.704
Q1217-BX162 23.14 0.1 22.55 0.1 22.53 0.1 22.5 0.1 21.36 0.1 21.17 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.631
Q1217-BX163 25.31 0.37 24.67 0.1 24.46 0.1 23.54 0.1 23.1 0.1 24.02 0.42 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.108
Q1217-BX164 25.46 0.39 24.58 0.1 24.28 0.1 23.64 0.1 23.03 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.331
Q1217-BX169 24.73 0.22 24.4 0.1 24.51 0.1 23.64 0.1 23.54 0.1 23.47 0.16 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.123
Q1217-BX172 25.84 0.53 25.3 0.1 25.35 0.1 24.6 0.1 24.85 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 1.625
Q1217-BX179 24.03 0.15 23.84 0.1 23.71 0.1 23.03 0.1 22.6 0.1 23.26 0.23 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.217
