Object Un_lris Un_lris_err G_lris G_lris_err Rs_lris Rs_lris_err mosfire_J mosfire_J_err mosfire_H mosfire_H_err mosfire_Ks mosfire_Ks_err irac1 irac1_err irac2 irac2_err f140w f140w_err f160w f160w_err Redshift
Q0449-BX141 24.92 0.33 24.49 0.17 24.74 0.15 24.38 0.1 24.91 0.1 23.96 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.21
Q0449-BX143 25.74 0.54 24.79 0.18 24.85 0.15 24.39 0.1 24.49 0.11 26.35 0.58 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.622
Q0449-BX144 24.71 0.3 23.93 0.12 23.99 0.09 23.07 0.1 22.87 0.1 22.99 0.1 22.68 0.1 22.12 0.22 9999.0 9999.0 9999.0 9999.0 1.751
Q0449-BX145 24.98 0.37 24.35 0.16 24.08 0.1 22.67 0.1 22.21 0.1 22.22 0.1 21.82 0.1 21.11 0.41 9999.0 9999.0 9999.0 9999.0 1.596
Q0449-BX147 25.24 0.46 24.39 0.16 24.13 0.12 23.22 0.1 22.84 0.1 22.6 0.1 22.67 0.11 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.261
Q0449-BX149 25.46 0.44 24.66 0.17 24.46 0.12 23.82 0.1 23.33 0.1 23.42 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.26
Q0449-BX15 24.14 0.18 23.38 0.1 23.31 0.06 22.61 0.1 22.24 0.1 22.02 0.1 21.7 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.091
Q0449-BX155 25.4 0.48 24.71 0.2 24.57 0.16 23.92 0.1 23.72 0.1 23.57 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.335
Q0449-BX158 26.16 0.74 25.61 0.35 25.65 0.28 25.16 0.11 25.4 0.18 24.77 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.379
Q0449-BX159 25.64 0.69 24.34 0.16 24.25 0.11 23.6 0.1 22.9 0.1 23.54 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.378
Q0449-BX160 25.98 0.64 25.32 0.28 25.21 0.2 23.82 0.1 23.47 0.1 23.15 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 1.656
Q0449-BX161 23.9 0.11 23.48 0.1 23.35 0.06 22.7 0.1 23.0 0.1 22.9 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 1.801
Q0449-BX165 24.97 0.33 24.52 0.17 24.51 0.13 23.47 0.1 22.95 0.1 23.13 0.1 23.24 0.22 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.355
Q0449-BX167 25.15 0.45 24.3 0.16 24.11 0.11 23.88 0.1 23.59 0.1 23.11 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.356
Q0449-BX168 24.75 0.25 24.08 0.1 23.98 0.09 23.56 0.1 23.12 0.1 23.43 0.1 23.0 0.12 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.331
Q0449-BX17 25.23 0.45 24.19 0.14 24.15 0.09 24.12 0.1 23.36 0.1 23.44 0.1 23.41 0.17 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.397
Q0449-BX171 25.04 0.43 24.2 0.16 24.32 0.13 24.0 0.1 23.24 0.1 23.9 0.1 23.85 0.21 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.301
Q0449-BX173 25.4 0.53 24.39 0.17 24.25 0.13 22.8 0.1 22.04 0.1 21.9 0.1 21.64 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.663
Q0449-BX176 24.85 0.32 24.44 0.17 24.42 0.13 23.58 0.1 23.17 0.1 23.04 0.1 22.84 0.16 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.064
Q0449-BX177 25.43 0.6 25.08 0.34 25.87 0.27 25.91 0.13 25.09 0.16 24.94 0.15 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 1.444
Q0449-BX178 24.32 0.25 24.01 0.15 23.96 0.1 23.0 0.1 23.07 0.1 23.83 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 1.583
Q0449-BX187 24.53 0.28 24.34 0.19 24.61 0.15 24.36 0.1 23.92 0.1 25.19 0.27 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 1.299
Q0449-BX188 25.6 0.69 24.51 0.2 24.34 0.14 23.65 0.1 23.31 0.1 26.31 0.89 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.901
Q0449-BX2 24.99 0.34 23.94 0.1 23.7 0.08 23.15 0.1 23.0 0.1 23.18 0.1 22.6 0.12 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.308
Q0449-BX22 24.95 0.29 24.4 0.14 24.23 0.1 24.08 0.1 23.87 0.1 23.87 0.1 24.2 0.24 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.309
Q0449-BX24 25.49 0.55 24.9 0.25 25.03 0.19 24.28 0.1 24.15 0.1 23.72 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.228
Q0449-BX25 26.14 0.52 25.03 0.15 24.83 0.14 24.11 0.1 23.84 0.1 23.63 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.445
Q0449-BX26 23.84 0.14 23.06 0.1 22.84 0.03 21.88 0.1 21.27 0.1 21.16 0.1 20.68 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.345
Q0449-BX3 24.7 0.4 23.84 0.14 23.16 0.07 22.22 0.1 21.84 0.1 21.74 0.1 22.04 0.14 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.266
Q0449-BX31 22.97 0.12 22.21 0.1 22.14 0.05 21.8 0.1 21.69 0.1 21.8 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.237
Q0449-BX35 23.92 0.25 22.87 0.1 23.9 0.08 23.34 0.1 22.66 0.1 22.78 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.398
Q0449-BX38 25.89 9999.0 25.1 0.33 25.23 0.23 24.03 0.1 23.19 0.1 22.65 0.1 22.02 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.233
Q0449-BX39 25.97 0.73 24.78 0.19 24.82 0.15 25.66 0.14 25.21 0.11 24.03 0.1 24.16 0.19 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.447
Q0449-BX40 25.88 9999.0 24.91 0.26 24.49 0.14 23.39 0.1 22.73 0.1 22.42 0.1 22.11 0.1 21.97 0.25 9999.0 9999.0 9999.0 9999.0 2.401
Q0449-BX41 24.17 0.19 23.55 0.1 23.46 0.07 22.46 0.1 22.16 0.1 21.97 0.1 21.76 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 1.895
Q0449-BX42 25.91 0.75 24.69 0.19 24.34 0.13 23.7 0.1 23.21 0.1 23.23 0.1 22.99 0.18 22.37 0.26 9999.0 9999.0 9999.0 9999.0 2.399
Q0449-BX43 25.15 0.36 24.92 0.23 24.96 0.18 24.37 0.1 24.41 0.1 24.0 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 1.614
Q0449-BX44 25.62 0.79 24.73 0.27 25.13 0.21 24.33 0.1 24.51 0.14 24.27 0.1 24.66 0.28 9999.0 9999.0 25.87 0.15 9999.0 9999.0 2.377
Q0449-BX45 25.73 0.77 24.32 0.17 24.44 0.12 23.72 0.1 22.96 0.1 22.58 0.1 22.6 0.1 9999.0 9999.0 23.73 0.1 9999.0 9999.0 2.093
Q0449-BX46 24.42 0.2 23.95 0.1 23.67 0.08 22.05 0.1 21.55 0.1 21.5 0.1 21.08 0.1 9999.0 9999.0 22.0 0.1 21.8 0.1 1.6
Q0449-BX47 24.54 0.23 24.11 0.12 24.11 0.09 22.96 0.1 22.67 0.1 23.0 0.1 22.64 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 1.657
Q0449-BX49 24.44 0.22 23.73 0.1 23.57 0.07 22.83 0.1 22.53 0.1 22.43 0.1 22.3 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.048
Q0449-BX51 25.62 0.61 24.56 0.18 24.4 0.12 24.33 0.1 23.71 0.1 23.84 0.1 24.15 0.22 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 3.297
Q0449-BX52 26.13 0.7 25.47 0.3 25.19 0.22 23.77 0.1 23.54 0.1 23.18 0.1 22.92 0.17 9999.0 9999.0 23.66 0.1 23.64 0.1 1.911
Q0449-BX54 25.67 0.52 25.34 0.3 25.07 0.21 24.34 0.1 23.87 0.1 24.74 0.14 23.85 0.33 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.093
Q0449-BX58 24.78 0.37 25.1 0.39 25.18 0.21 24.98 0.14 24.28 0.12 24.48 0.14 24.19 0.4 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 1.977
Q0449-BX59 25.17 0.38 24.5 0.16 24.44 0.15 24.03 0.1 23.19 0.1 23.9 0.1 9999.0 9999.0 9999.0 9999.0 25.05 0.1 24.37 0.23 2.377
Q0449-BX6 25.43 0.37 24.85 0.17 25.06 0.18 25.48 0.16 25.51 0.14 26.0 0.4 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.502
Q0449-BX64 25.19 0.44 24.61 0.2 24.5 0.13 23.14 0.1 22.64 0.1 22.32 0.1 21.95 0.1 9999.0 9999.0 9999.0 9999.0 22.87 0.1 1.854
Q0449-BX65 24.97 0.29 24.5 0.15 24.35 0.11 23.87 0.1 23.34 0.1 23.17 0.1 22.99 0.16 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.208
Q0449-BX66 26.36 1.05 25.25 0.3 25.31 0.23 24.81 0.1 24.52 0.1 23.92 0.1 24.51 0.28 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.447
Q0449-BX68 25.3 0.35 24.51 0.13 24.47 0.13 24.3 0.1 24.26 0.1 23.67 0.1 23.78 0.17 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.497
Q0449-BX69 26.33 9999.0 25.14 0.34 25.34 0.22 24.66 0.1 25.5 0.32 24.68 0.14 9999.0 9999.0 9999.0 9999.0 26.24 0.14 25.63 0.1 3.273
Q0449-BX70 25.19 0.44 24.32 0.16 24.17 0.11 24.09 0.1 23.38 0.1 23.66 0.1 23.61 0.19 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.477
Q0449-BX71 26.46 1.09 25.55 0.37 25.46 0.22 25.4 0.12 24.38 0.1 25.57 0.18 24.33 0.2 9999.0 9999.0 9999.0 9999.0 24.72 0.1 2.229
Q0449-BX72 25.77 0.77 25.06 0.32 25.17 0.19 24.39 0.1 23.74 0.1 24.05 0.1 9999.0 9999.0 9999.0 9999.0 24.84 0.1 24.7 0.1 2.265
Q0449-BX73 26.1 0.56 25.48 0.25 25.44 0.22 25.14 0.1 24.14 0.1 24.65 0.1 9999.0 9999.0 9999.0 9999.0 24.87 0.1 24.56 0.1 2.31
Q0449-BX76 25.2 0.56 24.9 0.33 24.63 0.2 23.44 0.1 23.85 0.1 23.46 0.1 23.32 0.21 9999.0 9999.0 24.35 0.1 24.23 0.1 2.139
Q0449-BX77 25.74 0.68 24.86 0.24 24.64 0.16 23.62 0.1 23.04 0.1 23.03 0.1 23.11 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.269
Q0449-BX79 25.41 0.42 25.17 0.27 25.26 0.2 24.72 0.1 25.43 0.14 25.24 0.13 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.096
Q0449-BX81 25.99 0.73 24.72 0.18 24.57 0.15 24.31 0.1 23.81 0.1 24.21 0.1 23.89 0.2 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.606
Q0449-BX82 25.43 0.5 24.61 0.19 24.66 0.18 24.1 0.1 23.89 0.1 23.63 0.1 23.42 0.19 9999.0 9999.0 9999.0 9999.0 24.39 0.1 2.006
Q0449-BX84 24.97 0.28 24.49 0.14 24.19 0.09 23.74 0.1 23.19 0.1 23.55 0.1 23.4 0.16 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.297
Q0449-BX85 26.22 9999.0 25.81 0.47 25.16 0.19 23.73 0.1 22.72 0.1 22.22 0.1 21.44 0.1 9999.0 9999.0 23.02 0.1 22.8 0.1 2.211
Q0449-BX86 25.77 0.55 24.95 0.2 25.08 0.19 24.2 0.1 24.48 0.1 24.46 0.1 23.96 0.23 9999.0 9999.0 9999.0 9999.0 24.49 0.1 2.096
Q0449-BX88 24.88 0.3 24.22 0.13 24.21 0.11 23.51 0.1 23.33 0.1 23.59 0.1 23.23 0.1 9999.0 9999.0 23.69 0.1 23.46 0.1 2.009
Q0449-BX88-CS8 25.82 0.71 25.47 0.41 25.34 0.23 25.41 0.17 24.63 0.14 23.82 0.1 9999.0 9999.0 9999.0 9999.0 24.79 0.1 24.68 0.1 2.096
Q0449-BX89 25.22 0.38 24.52 0.16 24.46 0.11 24.17 0.1 23.39 0.1 23.46 0.1 23.95 0.15 9999.0 9999.0 9999.0 9999.0 23.82 0.1 2.258
Q0449-BX90 26.43 0.93 25.63 0.35 25.52 0.24 24.83 0.1 24.36 0.1 23.26 0.1 22.83 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.121
Q0449-BX92 26.2 1.05 25.05 0.29 25.0 0.2 24.13 0.1 23.38 0.1 22.97 0.1 22.76 0.11 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.402
Q0449-BX93 23.56 0.12 23.14 0.1 23.04 0.05 22.44 0.1 22.21 0.1 22.51 0.1 22.35 0.1 9999.0 9999.0 9999.0 9999.0 22.53 0.1 2.007
Q0449-BX94 25.54 0.52 25.1 0.27 24.78 0.16 24.07 0.1 23.41 0.1 23.56 0.1 23.32 0.13 9999.0 9999.0 24.2 0.1 23.74 0.1 2.34
Q0449-BX96 25.1 0.36 24.97 0.25 25.32 0.22 24.59 0.1 24.46 0.11 23.79 0.1 9999.0 9999.0 9999.0 9999.0 25.56 0.1 24.46 0.1 2.213
Q0449-C10 26.67 9999.0 25.62 0.38 24.86 0.15 24.22 0.1 24.56 0.11 23.46 0.1 25.16 0.29 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 3.338
Q0449-C12 25.79 9999.0 24.49 0.25 24.81 0.18 23.65 0.1 23.84 0.1 23.0 0.1 22.36 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.856
Q0449-C14 26.11 9999.0 24.5 0.28 24.7 0.14 24.34 0.1 23.41 0.1 24.11 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 3.327
Q0449-C16 27.12 9999.0 25.5 0.42 24.81 0.16 24.4 0.1 24.62 0.13 23.65 0.1 22.69 0.16 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 3.484
Q0449-C20 25.36 0.52 24.07 0.12 23.03 0.18 23.3 0.1 22.67 0.1 24.4 0.17 22.98 0.19 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 3.037
Q0449-C21 26.44 9999.0 24.84 0.25 24.51 0.13 24.6 0.1 24.01 0.1 23.73 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.862
Q0449-C22 26.62 9999.0 25.55 0.37 24.95 0.16 24.99 0.11 24.48 0.11 24.57 0.11 22.85 0.16 9999.0 9999.0 24.72 0.1 24.55 0.1 2.74
Q0449-C23 26.74 9999.0 25.78 0.38 25.06 0.16 24.63 0.1 24.55 0.1 24.08 0.1 24.22 0.22 9999.0 9999.0 24.76 0.1 24.48 0.1 2.865
Q0449-C28 25.67 1.02 24.49 0.27 24.31 0.13 23.96 0.1 23.58 0.1 23.14 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.904
Q0449-C30 26.73 9999.0 25.59 0.34 24.91 0.18 25.73 0.21 23.93 0.1 23.81 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.72
Q0449-C5 26.96 9999.0 25.16 0.31 24.29 0.13 23.48 0.1 23.03 0.1 22.97 0.1 23.2 0.12 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 3.104
Q0449-C6 26.08 9999.0 23.88 0.12 23.02 0.04 22.38 0.1 22.04 0.1 21.67 0.1 21.75 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 3.306
Q0449-C7 27.11 9999.0 25.81 0.44 24.62 0.12 24.34 0.1 23.45 0.1 23.34 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 3.112
Q0449-D1 26.22 9999.0 24.96 0.3 24.41 0.13 23.94 0.1 23.91 0.1 23.67 0.1 23.59 0.36 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.728
Q0449-D10 26.07 9999.0 25.01 0.31 25.48 0.26 9999.0 9999.0 24.47 0.13 25.55 0.33 9999.0 9999.0 9999.0 9999.0 25.46 0.1 9999.0 9999.0 3.037
Q0449-D11 26.36 9999.0 25.21 0.25 25.2 0.2 24.61 0.1 25.32 0.23 24.6 0.11 9999.0 9999.0 9999.0 9999.0 25.52 0.1 25.2 0.1 2.966
Q0449-D12 26.2 9999.0 24.92 0.24 24.77 0.17 24.99 0.12 25.09 0.22 23.61 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 3.112
Q0449-D13 26.34 9999.0 25.67 0.42 25.9 0.31 25.95 0.23 24.82 0.13 24.79 0.12 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 24.89 0.1 3.105
Q0449-D14 24.48 0.52 22.93 0.1 23.94 0.1 23.47 0.1 22.72 0.1 22.96 0.1 22.47 0.13 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.689
Q0449-D15 26.15 9999.0 25.35 0.31 24.84 0.16 24.77 0.1 24.83 0.17 24.36 0.1 23.68 0.3 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.818
Q0449-D16 25.86 9999.0 24.42 0.18 24.16 0.11 23.88 0.1 23.54 0.1 24.1 0.1 24.03 0.3 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.687
Q0449-D17 25.77 9999.0 24.62 0.19 24.54 0.13 25.13 0.14 24.56 0.14 24.23 0.1 23.5 0.18 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.712
Q0449-D18 26.2 9999.0 25.27 0.26 24.9 0.16 24.6 0.1 24.32 0.1 25.94 0.4 23.63 0.2 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.689
Q0449-D2 26.09 9999.0 24.76 0.19 24.51 0.12 24.4 0.1 23.93 0.1 23.41 0.1 23.68 0.2 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.739
Q0449-D4 26.49 9999.0 25.14 0.24 24.65 0.15 24.46 0.1 23.99 0.1 24.08 0.1 23.95 0.42 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.844
Q0449-D5 25.94 9999.0 24.76 0.2 24.63 0.14 24.04 0.1 24.01 0.1 23.92 0.1 23.94 0.24 20.87 0.11 9999.0 9999.0 9999.0 9999.0 2.693
Q0449-D6 25.68 9999.0 24.04 0.14 24.19 0.12 24.47 0.1 24.75 0.21 23.47 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.785
Q0449-D7 26.18 9999.0 25.09 0.2 24.83 0.15 24.6 0.1 23.84 0.1 23.99 0.1 23.62 0.11 9999.0 9999.0 24.11 0.1 24.0 0.1 2.743
Q0449-D9 26.06 9999.0 24.61 0.19 25.05 0.19 24.48 0.1 23.95 0.1 24.09 0.1 22.66 0.14 9999.0 9999.0 24.64 0.1 24.4 0.1 2.689
Q0449-M1 26.74 9999.0 26.2 0.6 25.35 0.23 24.88 0.1 24.39 0.1 24.65 0.12 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 3.393
Q0449-M10 26.32 9999.0 25.05 0.34 24.29 0.12 23.21 0.1 22.54 0.1 22.21 0.1 21.59 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.386
Q0449-M11 26.43 9999.0 25.28 0.52 24.57 0.15 23.78 0.1 23.84 0.1 23.58 0.1 24.1 0.35 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 3.282
Q0449-M2 26.42 9999.0 25.68 0.5 24.87 0.19 25.17 0.16 9999.0 9999.0 23.98 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 3.365
Q0449-M3 25.85 9999.0 25.75 0.54 24.9 0.2 24.06 0.1 23.94 0.1 23.86 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.854
