Object Un_lris Un_lris_err G_lris G_lris_err Rs_lris Rs_lris_err mosfire_J mosfire_J_err mosfire_H mosfire_H_err mosfire_Ks mosfire_Ks_err irac1 irac1_err irac2 irac2_err f140w f140w_err f160w f160w_err Redshift
Q0449-BM36 25.48 0.41 25.34 0.29 25.6 0.24 25.13 0.11 25.65 0.29 25.28 0.19 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 1.527
Q0449-BM59 25.33 0.47 24.84 0.23 24.73 0.17 23.41 0.1 22.89 0.1 22.78 0.1 22.32 0.1 9999.0 9999.0 23.49 0.1 23.17 0.1 1.602
Q0449-BM67 24.61 0.33 24.23 0.18 24.43 0.15 24.18 0.1 24.39 0.11 23.89 0.1 9999.0 9999.0 9999.0 9999.0 24.54 0.1 24.16 0.1 2.051
Q0449-BM71 24.82 0.26 24.77 0.19 24.66 0.14 23.64 0.1 23.61 0.1 23.73 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 24.03 0.1 1.327
Q0449-BM72 25.51 0.51 25.12 0.28 25.0 0.18 24.25 0.1 24.19 0.1 23.94 0.1 23.54 0.1 9999.0 9999.0 24.42 0.1 24.44 0.1 2.069
Q0449-BM74 23.53 0.1 23.24 0.1 23.15 0.04 22.43 0.1 21.95 0.1 22.29 0.1 22.12 0.1 9999.0 9999.0 22.67 0.1 22.35 0.1 1.467
Q0449-BM75 23.79 0.12 23.67 0.1 23.53 0.07 22.47 0.1 22.12 0.1 22.69 0.1 22.2 0.1 9999.0 9999.0 22.61 0.1 22.42 0.1 1.387
Q0449-BM79 25.05 0.37 25.01 0.28 24.73 0.16 23.94 0.1 23.87 0.1 24.38 0.12 24.01 0.25 9999.0 9999.0 9999.0 9999.0 23.98 0.1 1.387
Q0449-BM80 24.9 0.32 24.78 0.23 24.56 0.15 23.18 0.1 22.7 0.1 23.0 0.1 22.97 0.1 9999.0 9999.0 23.26 0.1 23.07 0.1 1.806
Q0449-BM84 25.16 0.39 24.54 0.18 24.25 0.11 22.93 0.1 22.74 0.1 22.65 0.1 24.7 0.3 9999.0 9999.0 9999.0 9999.0 23.36 0.1 1.284
Q0449-BM89 23.76 0.11 23.78 0.1 24.02 0.08 23.53 0.1 23.37 0.1 23.67 0.1 23.47 0.17 9999.0 9999.0 23.73 0.1 23.62 0.1 1.715
Q0449-BX100 24.98 0.24 24.8 0.16 24.98 0.16 24.45 0.1 24.54 0.11 24.71 0.12 23.69 0.23 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 1.676
Q0449-BX102 25.69 0.55 24.73 0.18 24.64 0.14 23.4 0.1 23.32 0.1 23.2 0.1 22.39 0.13 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 1.821
Q0449-BX103 25.26 0.45 24.82 0.24 25.12 0.21 23.78 0.1 25.17 0.23 24.61 0.13 24.16 0.38 9999.0 9999.0 24.54 0.1 25.43 0.1 1.646
Q0449-BX105 25.09 0.36 24.47 0.16 24.2 0.12 23.04 0.1 22.85 0.1 22.44 0.1 22.17 0.1 9999.0 9999.0 9999.0 9999.0 22.96 0.1 1.834
Q0449-BX107 25.66 0.53 24.91 0.21 24.73 0.15 23.84 0.1 23.31 0.1 22.87 0.1 22.48 0.1 22.19 0.33 9999.0 9999.0 9999.0 9999.0 1.863
Q0449-BX108 25.79 0.75 25.11 0.32 25.21 0.21 24.49 0.1 23.8 0.1 23.86 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.38
Q0449-BX110 24.62 0.24 24.05 0.11 23.94 0.08 23.54 0.1 23.34 0.1 24.74 0.1 23.23 0.2 9999.0 9999.0 9999.0 9999.0 23.95 0.1 2.336
Q0449-BX115 25.44 9999.0 24.77 0.21 24.88 0.15 25.23 0.15 24.98 0.1 24.61 0.12 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 25.36 0.1 2.336
Q0449-BX116 25.34 0.44 24.67 0.19 24.73 0.15 24.54 0.1 24.21 0.1 24.46 0.1 9999.0 9999.0 9999.0 9999.0 25.04 0.1 24.71 0.1 2.069
Q0449-BX117 24.33 0.19 23.89 0.1 24.09 0.09 23.9 0.1 23.27 0.1 23.71 0.1 23.55 0.18 9999.0 9999.0 23.63 0.1 23.98 0.1 2.188
Q0449-BX12 25.35 0.51 24.82 0.25 24.56 0.15 24.09 0.1 23.56 0.1 23.26 0.1 23.17 0.23 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.354
Q0449-BX121 25.53 0.58 24.66 0.21 24.41 0.13 23.97 0.1 23.58 0.1 23.83 0.1 24.71 0.39 9999.0 9999.0 24.78 0.1 23.05 0.2 2.685
Q0449-BX122 25.19 0.39 24.77 0.21 24.89 0.16 23.95 0.1 23.8 0.1 23.66 0.1 23.98 0.33 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 1.785
Q0449-BX123 23.85 0.17 23.24 0.1 22.95 0.05 21.7 0.1 21.4 0.1 21.38 0.1 21.22 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 1.716
Q0449-BX126 24.45 0.24 23.78 0.1 23.52 0.07 22.51 0.1 22.42 0.1 22.24 0.1 22.17 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 1.814
Q0449-BX128 25.28 0.45 24.08 0.12 23.97 0.09 23.52 0.1 23.31 0.1 23.0 0.1 22.82 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.46
Q0449-BX132 24.51 0.26 23.92 0.12 24.03 0.11 23.48 0.1 23.19 0.1 23.45 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.277
Q0449-BX137 25.96 0.79 25.17 0.3 25.27 0.23 25.45 0.17 24.46 0.1 23.99 0.1 23.8 0.15 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.465
Q0449-BX138 25.59 0.4 25.01 0.18 24.93 0.15 24.43 0.1 24.46 0.1 24.17 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.393
Q0449-BX14 25.03 0.29 24.74 0.18 24.94 0.18 23.86 0.1 23.83 0.1 23.79 0.1 23.45 0.13 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 1.79
Q0449-BX140 25.44 0.54 24.74 0.22 24.58 0.16 24.05 0.1 23.34 0.1 23.73 0.1 23.35 0.18 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.211
