Object Un_lris Un_lris_err G_lris G_lris_err Rs_lris Rs_lris_err mosfire_J mosfire_J_err mosfire_Ks mosfire_Ks_err irac1 irac1_err irac2 irac2_err f140w f140w_err f160w f160w_err Redshift
Q1442-BX10 25.24 0.29 24.46 0.1 24.7 0.1 23.83 0.1 23.94 0.1 22.56 0.13 9999.0 9999.0 9999.0 9999.0 9999 9999 2.043
Q1442-BX106 26.21 0.43 25.06 0.1 24.97 0.1 24.98 0.14 24.72 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999 9999 2.434
Q1442-BX107 24.81 0.14 24.27 0.1 24.29 0.1 23.83 0.1 23.71 0.1 23.26 0.1 9999.0 9999.0 9999.0 9999.0 9999 9999 1.925
Q1442-BX108 25.13 0.23 24.0 0.1 23.76 0.1 23.56 0.1 23.1 0.1 22.36 0.11 9999.0 9999.0 9999.0 9999.0 9999 9999 2.428
Q1442-BX108-CS10 24.8 9999.0 23.58 0.1 21.42 0.1 19.86 0.1 19.31 0.1 19.45 0.1 9999.0 9999.0 9999.0 9999.0 9999 9999 0.637
Q1442-BX109 25.36 0.23 24.37 0.1 24.17 0.1 23.34 0.1 23.1 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999 9999 1.908
Q1442-BX110 26.36 0.51 25.38 0.1 25.26 0.1 25.81 0.31 25.06 0.13 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999 9999 2.661
Q1442-BX111 24.92 0.19 24.19 0.1 23.95 0.1 22.81 0.1 22.47 0.1 21.97 0.1 9999.0 9999.0 9999.0 9999.0 9999 9999 1.769
Q1442-BX112 25.41 0.34 24.26 0.1 23.81 0.1 23.14 0.1 22.69 0.1 22.14 0.12 9999.0 9999.0 9999.0 9999.0 9999 9999 2.432
Q1442-BX113 24.26 0.15 23.42 0.1 23.25 0.1 22.36 0.1 21.95 0.1 21.59 0.1 9999.0 9999.0 9999.0 9999.0 9999 9999 2.078
