,id,RA,Dec,z,area,Un_fiso,Un_eiso,Un_cmbfiso,Un_cmbeiso,G_fiso,G_eiso,G_cmbfiso,G_cmbeiso,R_fiso,R_eiso,R_cmbfiso,R_cmbeiso,J_fiso,J_eiso,J_cmbfiso,J_cmbeiso,H_fiso,H_eiso,H_cmbfiso,H_cmbeiso,K_fiso,K_eiso,K_cmbfiso,K_cmbeiso,IRAC1_fiso,IRAC1_eiso,IRAC1_cmbfiso,IRAC1_cmbeiso,IRAC2_fiso,IRAC2_eiso,IRAC2_cmbfiso,IRAC2_cmbeiso,IRAC3_fiso,IRAC3_eiso,IRAC3_cmbfiso,IRAC3_cmbeiso,F110_fiso,F110_eiso,F110_cmbfiso,F110_cmbeiso,F140_fiso,F140_eiso,F140_cmbfiso,F140_cmbeiso,F160_fiso,F160_eiso,F160_cmbfiso,F160_cmbeiso
0,BX537,356.6065305,12.8123817,2.3394,76,0.2793147062780453,0.0241717004519494,0.2793147062780453,0.0241717004519494,0.5665972850421388,0.0358145413562189,0.5665972850421388,0.0358145413562189,0.5947813966394039,0.0294142314793808,0.5947813966394039,0.0294142314793808,1.019960501695661,0.1203771146776566,1.019960501695661,0.1203771146776566,1.817100409875615,0.3182107639126955,1.817100409875615,0.3182107639126955,1.5821651650749329,0.5868013146572072,1.5821651650749329,0.5868013146572072,0.0,9.9e+99,0.0,9.9e+99,1.554075682416207,0.2022345765748981,1.554075682416207,0.2022345765748981,0.0,9.9e+99,0.0,9.9e+99,-0.0002915656241998,0.0,-0.0002915656241998,0.0,1.0436760625371455,0.0467570251071668,1.0436760625371455,0.0467570251071668,1.4578407788116563,0.0501105948172317,1.4578407788116563,0.0501105948172317
1,BX348,356.6143693,12.7864318,2.4491,99,0.116676811081268,0.0272037050763763,0.116676811081268,0.0272037050763763,0.4663851138846012,0.0387323212258589,0.4663851138846012,0.0387323212258589,0.6644782574970711,0.031168257435294,0.6644782574970711,0.031168257435294,1.1975551726575044,0.1742120097953,1.0101988923943603,0.1773838566695853,2.5964442882835637,0.4382888222562425,2.059113659588357,0.4388395931620349,2.7643553758943464,0.6364532607138704,1.8700379509560832,0.6364532607138704,0.0,9.9e+99,0.0,9.9e+99,4.759247193318623,0.2898838931387774,4.5766026334008005,0.2898838931387774,0.0,9.9e+99,0.0,9.9e+99,1.14214308837305,0.0747768497741044,1.0705414393536996,0.0758579136301765,1.7425682867652137,0.0379986013192708,1.6191666317262994,0.0439034440968439,-1.109191163395283e-07,0.0,5.60821730705675e-07,0.0
2,RK120,356.6093603,12.8239555,2.3503,94,0.109580647173506,0.0285694101840951,0.109580647173506,0.0285694101840951,0.3130737842388486,0.0365495886668668,0.3130737842388486,0.0365495886668668,0.4621873066347818,0.0318821569213421,0.4621873066347818,0.0318821569213421,1.5014889687377917,0.1343790961204062,1.3581318500056043,0.1368382344249721,2.806663818416761,0.3243210002120716,2.607356579043092,0.3258120091579105,3.8311229971335985,0.7187610387973727,2.7680399209980733,0.7187610387973727,0.0,9.9e+99,0.0,9.9e+99,6.988401007285347,0.4996406678761455,6.85159874012444,0.4996406678761455,0.0,9.9e+99,0.0,9.9e+99,2.9147736289233213e-08,0.0,-0.0522194428136602,0.0,2.020640162985177,0.0551725542485339,1.9305466132080864,0.0575099298355298,2.6409634725097137,0.0687402887272295,2.4613963197123407,0.0740387481968205
3,BX418,356.57738,12.79649,2.3054,82,0.8251509761731111,0.0319745007775877,0.8251509761731111,0.0319745007775877,1.290461535257636,0.0383585673627721,1.290461535257636,0.0383585673627721,1.065155033651083,0.0317867579347508,1.065155033651083,0.0317867579347508,0.9993727404122396,0.1678903121729944,0.8663847247598575,0.1695410363865623,2.0452512341150224,0.4413969730371088,1.1456333594875412,0.4670342703714785,1.549960516598245,0.5735900894008829,0.715642941297436,0.5735900894008829,0.0,9.9e+99,0.0,9.9e+99,0.8364410112365347,0.1791064887317521,0.782536845253658,0.1791064887317521,0.0,9.9e+99,0.0,9.9e+99,8.265558812810701e-10,0.0,-0.0466932859534333,0.0,1.066232032426386,0.0498044303897561,0.983546201996246,0.0517973545615738,2.6225353786721226,0.0498205515964318,1.7507641889117624,0.1561001957736146
4,BX336,356.6231682,12.7847323,2.5445,144,0.2223454409471525,0.0307882714622846,0.2223454409471525,0.0307882714622846,0.7338895499226012,0.0470088910367751,0.7338895499226012,0.0470088910367751,0.9925064383636328,0.0465078529645081,0.9925064383636328,0.0465078529645081,2.1549946318262796,0.3016091393754109,1.977856053432721,0.3032993344236369,3.168127105775181,0.5817717238194873,2.2960384232461393,0.5817717238194873,4.1085886664494335,0.7880017376102588,4.0111592575900294,0.7880017376102588,0.0,9.9e+99,0.0,9.9e+99,3.6624277715162266,0.3952183839854516,3.5594040151822295,0.3952183839854516,0.0,9.9e+99,0.0,9.9e+99,1.4582940689390411,0.0964642366202721,1.3955274957556418,0.0971274260946882,2.0077162483185496,0.0659934767359852,1.8973165551809208,0.0689361997200982,9.353708336682624e-07,0.0,1.5428083397968388e-06,0.0
5,BX523,356.6464617,12.810486,2.2696,77,0.3042386242690003,0.0246595496550781,0.3042386242690003,0.0246595496550781,0.5631375006972852,0.0371489246529905,0.5631375006972852,0.0371489246529905,0.5873332648707819,0.0324358529763563,0.5873332648707819,0.0324358529763563,0.6307633894472126,0.1690496308633531,0.5363805662684851,0.1698803053059791,1.402423735099978,0.2816736345712415,0.8561412933993786,0.2977844743405421,1.4883200775299343,0.7151272468950733,0.7934584629710373,0.7151272468950733,0.0,9.9e+99,0.0,9.9e+99,1.1132419506982465,0.1607594728544127,1.0451018272292076,0.1607594728544127,0.0,9.9e+99,0.0,9.9e+99,-0.0021379238274016,0.0,-0.0351027651449925,0.0,0.9561366671394904,0.0698904627012211,0.8646282429475557,0.0711382359675255,1.293737782423153e-07,0.0,-0.5270481906088714,0.0
6,BX274,356.6090119,12.7778494,2.1203,87,0.1452277678345352,0.0274994494679698,0.1452277678345352,0.0274994494679698,0.3415514200901471,0.0375115215239665,0.3415514200901471,0.0375115215239665,0.3177791363528658,0.0357940981295922,0.3177791363528658,0.0357940981295922,0.6600944123387786,0.1572378811652326,0.6036897514123265,0.1575698766634062,0.818263484025495,0.327487014121922,0.721382515542595,0.3278284557595721,1.0501218193341268,0.6626939187988935,0.9185203772068508,0.6626939187988935,0.0,9.9e+99,0.0,9.9e+99,1.6250420478149077,0.1472770141339942,1.6168887173984516,0.1472770141339942,0.0,9.9e+99,0.0,9.9e+99,0.0236560404384662,0.0,0.0034718294346518,0.0,1.045965179765839,0.060802002788893,0.9869044320850788,0.0614749781983921,-1.274219618477818e-06,0.0,-0.1053542786747604,0.0
7,BX390,356.6030244,12.7926705,2.2311,103,0.3105784662494535,0.0399563242882891,0.3105784662494535,0.0399563242882891,0.6198960977288448,0.049899904912193,0.6198960977288448,0.049899904912193,0.7391433010041367,0.0354507248108324,0.7391433010041367,0.0354507248108324,1.1066036054093855,0.1877025662683073,0.9734686698264656,0.18923063313826,1.9787068951011129,0.4064205586220991,1.6257374959099085,0.4106557298041511,1.8762278098484213,0.6362142933862319,1.7410455566248195,0.6362142933862319,0.0,9.9e+99,0.0,9.9e+99,1.701195394063325,0.1927322885191296,1.694047313451176,0.1927322885191296,0.0,9.9e+99,0.0,9.9e+99,0.6902973288400837,0.0,0.6412558494426588,0.0,1.4393600506885793,0.0504401041993074,1.3225605599094854,0.0530169228920031,1.7030010986557094,0.0827615797457064,1.341604469585823,0.1020133248486732
8,BX391,356.6170149,12.7922015,2.1738,130,0.3396806911352967,0.0275497893048061,0.3396806911352967,0.0275497893048061,0.6456561649425605,0.0480478256210663,0.6456561649425605,0.0480478256210663,0.6256390203104422,0.0432950269460721,0.6256390203104422,0.0432950269460721,0.8576074352471996,0.2521839015671582,0.734051488604744,0.2646653428980806,0.9443339397065597,0.5184530252931389,0.4892517572814745,0.5240028288783116,1.9059875048866413,0.8253607393807068,1.399131830256832,0.8322120566600932,0.0,9.9e+99,0.0,9.9e+99,1.882299976968517,0.350522114163441,1.882299976968517,0.350522114163441,0.0,9.9e+99,0.0,9.9e+99,1.1039755233302928,0.0778811031208731,1.0612254939281305,0.0826918641613661,1.5588391731257212,0.0817764463099931,1.2990669000217634,0.092273768565658,1.681921758952752,0.0,1.2004442265078596,0.0
9,BX474,356.6371295,12.8039106,2.2257,146,0.2292530466559654,0.0339813125372395,0.2292530466559654,0.0339813125372395,0.6697718391064973,0.0411420990786653,0.6697718391064973,0.0411420990786653,0.8020524935965443,0.0388938732550471,0.8020524935965443,0.0388938732550471,2.113115809602049,0.1824584326997584,1.9846421550974087,0.1840155905468593,3.3292794867705195,0.3949536695894923,3.045578753870211,0.3977606791581952,5.008455181810435,0.8710493703189952,4.0943234776385165,0.8710493703189952,0.0,9.9e+99,0.0,9.9e+99,7.599467567317499,0.4846780153110246,7.539698204103826,0.4846780153110246,0.0,9.9e+99,0.0,9.9e+99,1.8835476010566552,0.0865918490898707,1.836786411494135,0.0870272078769284,2.8461395743124513,0.0641182991953769,2.7385756635222793,0.0664273419303502,-0.0192522654483509,0.0,-0.3114582976593569,0.0
