Object Un_lris Un_lris_err G_lris G_lris_err Rs_lris Rs_lris_err mosfire_J mosfire_J_err mosfire_Ks mosfire_Ks_err irac1 irac1_err irac2 irac2_err f140w f140w_err f160w f160w_err Redshift
Q1603-BM201 25.03 0.11 24.73 0.1 24.39 0.1 23.18 0.1 22.93 0.1 22.25 0.12 9999.0 9999.0 9999.0 9999.0 9999 9999 0.899
Q1603-BM210 25.43 0.13 25.13 0.1 24.93 0.1 23.87 0.13 23.73 0.13 23.22 0.17 9999.0 9999.0 23.98 0.1 9999 9999 1.732
Q1603-BM222 25.59 0.14 25.13 0.1 24.95 0.1 23.84 0.12 23.99 0.15 24.36 0.26 9999.0 9999.0 23.95 0.1 9999 9999 1.704
Q1603-BM223 25.39 0.15 24.82 0.1 24.51 0.1 23.4 0.1 23.1 0.1 10.92 0.0 9999.0 9999.0 23.26 0.1 9999 9999 1.878
Q1603-BM85 24.7 0.1 24.63 0.1 24.52 0.1 24.33 0.23 24.09 0.2 24.26 0.4 9999.0 9999.0 24.07 0.1 9999 9999 1.279
Q1603-BX100 26.66 0.48 25.23 0.12 24.73 0.1 24.44 0.25 23.22 0.1 23.24 0.12 9999.0 9999.0 9999.0 9999.0 9999 9999 2.427
Q1603-BX101 26.88 0.53 25.31 0.12 24.89 0.1 23.66 0.11 22.96 0.1 22.24 0.1 9999.0 9999.0 9999.0 9999.0 9999 9999 2.32
Q1603-BX104 26.31 0.3 25.13 0.1 24.66 0.1 24.15 0.17 23.73 0.13 23.51 0.12 9999.0 9999.0 9999.0 9999.0 9999 9999 2.548
Q1603-BX105 24.17 0.1 23.45 0.1 23.06 0.1 21.53 0.1 21.01 0.1 20.63 0.1 9999.0 9999.0 21.63 0.1 9999 9999 1.586
Q1603-BX106 25.88 0.23 24.86 0.1 24.54 0.1 24.25 0.2 23.46 0.11 23.25 0.17 9999.0 9999.0 9999.0 9999.0 9999 9999 2.274
Q1603-BX109 25.03 0.11 24.54 0.1 24.35 0.1 23.33 0.1 23.45 0.12 23.03 0.1 9999.0 9999.0 9999.0 9999.0 9999 9999 1.661
Q1603-BX110 24.32 0.1 23.74 0.1 23.51 0.1 22.25 0.1 22.06 0.1 21.35 0.1 9999.0 9999.0 9999.0 9999.0 9999 9999 1.684
Q1603-BX112 24.66 0.1 24.25 0.1 24.06 0.1 23.47 0.1 23.26 0.1 22.81 0.1 9999.0 9999.0 9999.0 9999.0 9999 9999 1.663
Q1603-BX113 26.15 0.39 24.74 0.1 24.02 0.1 23.18 0.1 22.58 0.1 22.54 0.16 9999.0 9999.0 9999.0 9999.0 9999 9999 2.411
Q1603-BX116 25.14 0.14 24.26 0.1 23.96 0.1 22.47 0.1 22.05 0.1 21.61 0.1 9999.0 9999.0 9999.0 9999.0 9999 9999 1.952
Q1603-BX125 25.61 0.19 24.89 0.1 24.67 0.1 23.73 0.12 22.07 0.1 21.12 0.1 9999.0 9999.0 9999.0 9999.0 9999 9999 2.274
Q1603-BX127 25.6 0.45 24.13 0.11 23.28 0.1 28.27 9999.0 24.71 0.73 22.79 0.16 9999.0 9999.0 24.2 0.1 9999 9999 2.552
Q1603-BX132 26.21 0.3 25.0 0.1 24.45 0.1 24.2 0.19 24.24 0.22 22.88 0.1 9999.0 9999.0 9999.0 9999.0 9999 9999 2.553
Q1603-BX133 25.71 0.26 24.82 0.11 24.43 0.1 23.42 0.11 23.34 0.12 23.36 0.23 9999.0 9999.0 24.35 0.1 9999 9999 2.262
Q1603-BX135 26.65 0.43 25.49 0.14 25.21 0.1 24.5 0.23 23.75 0.13 23.73 0.29 9999.0 9999.0 24.89 0.1 9999 9999 2.408
Q1603-BX138 24.36 0.1 23.67 0.1 23.4 0.1 21.91 0.1 21.44 0.1 21.05 0.1 9999.0 9999.0 9999.0 9999.0 9999 9999 1.637
Q1603-BX143 26.08 0.24 25.28 0.11 25.19 0.1 24.55 0.23 24.83 0.34 24.26 0.4 9999.0 9999.0 25.11 0.1 9999 9999 2.524
Q1603-BX148 25.42 0.15 24.6 0.1 24.39 0.1 22.96 0.1 22.76 0.1 22.04 0.1 9999.0 9999.0 23.04 0.1 9999 9999 2.363
Q1603-BX149 25.02 0.14 24.17 0.1 23.4 0.1 23.13 0.1 22.52 0.1 23.16 0.21 9999.0 9999.0 24.18 0.1 9999 9999 2.263
Q1603-BX150 26.03 0.27 25.02 0.1 24.59 0.1 24.01 0.17 23.28 0.1 23.03 0.14 9999.0 9999.0 23.94 0.1 9999 9999 1.995
Q1603-BX155 25.38 0.14 24.85 0.1 24.64 0.1 23.87 0.11 22.96 0.1 22.9 0.14 9999.0 9999.0 23.97 0.1 9999 9999 2.108
Q1603-BX157 25.78 0.23 24.91 0.1 24.41 0.1 23.5 0.1 22.55 0.1 23.67 0.16 9999.0 9999.0 9999.0 9999.0 9999 9999 2.538
Q1603-BX158 25.49 0.14 24.89 0.1 24.67 0.1 23.35 0.1 23.41 0.1 9999.0 9999.0 9999.0 9999.0 23.49 0.1 9999 9999 1.888
Q1603-BX159 25.75 0.23 25.08 0.12 24.71 0.1 29.05 9999.0 24.4 0.28 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999 9999 2.274
Q1603-BX162 24.91 0.11 24.08 0.1 23.9 0.1 24.36 0.28 23.04 0.1 22.92 0.1 9999.0 9999.0 9999.0 9999.0 9999 9999 2.316
Q1603-BX164 24.86 0.1 24.27 0.1 24.04 0.1 23.18 0.1 23.16 0.1 23.05 0.13 9999.0 9999.0 9999.0 9999.0 9999 9999 2.268
Q1603-BX165 26.33 0.33 25.43 0.14 25.25 0.1 24.52 0.24 24.69 0.31 9999.0 9999.0 9999.0 9999.0 25.41 0.1 9999 9999 2.28
Q1603-BX167 24.45 0.1 24.1 0.1 24.11 0.1 23.24 0.1 23.92 0.21 24.01 0.36 9999.0 9999.0 9999.0 9999.0 9999 9999 1.638
Q1603-BX171 24.94 0.1 24.59 0.1 24.39 0.1 23.6 0.12 23.37 0.11 23.21 0.13 9999.0 9999.0 23.6 0.1 9999 9999 1.837
Q1603-BX173 26.07 0.23 25.07 0.1 24.75 0.1 25.07 0.32 24.31 0.21 9999.0 9999.0 9999.0 9999.0 24.56 0.1 9999 9999 2.549
Q1603-BX174 25.29 0.15 24.94 0.1 24.48 0.1 23.08 0.1 23.07 0.1 22.74 0.1 9999.0 9999.0 23.24 0.1 9999 9999 1.686
Q1603-BX179 25.39 0.16 24.55 0.1 23.99 0.1 23.2 0.1 22.89 0.1 22.99 0.11 9999.0 9999.0 9999.0 9999.0 9999 9999 2.371
Q1603-BX18 25.57 0.18 24.66 0.1 24.39 0.1 24.2 0.21 23.07 0.1 23.4 0.32 9999.0 9999.0 9999.0 9999.0 9999 9999 2.169
Q1603-BX180 25.1 0.14 24.09 0.1 23.75 0.1 23.73 0.17 22.85 0.1 23.42 0.24 9999.0 9999.0 9999.0 9999.0 9999 9999 2.376
Q1603-BX183 26.33 0.32 25.38 0.13 25.18 0.1 29.08 9999.0 25.95 0.96 22.68 0.27 9999.0 9999.0 9999.0 9999.0 9999 9999 2.662
Q1603-BX184 25.09 0.12 24.13 0.1 24.08 0.1 23.21 0.1 23.96 0.2 22.83 0.15 9999.0 9999.0 9999.0 9999.0 9999 9999 2.429
Q1603-BX185 24.61 0.1 24.17 0.1 24.19 0.1 23.93 0.15 24.03 0.19 23.61 0.13 9999.0 9999.0 9999.0 9999.0 9999 9999 1.724
Q1603-BX186 24.58 0.1 24.23 0.1 24.16 0.1 23.08 0.1 22.72 0.1 23.64 0.28 9999.0 9999.0 9999.0 9999.0 9999 9999 1.725
Q1603-BX187 24.77 0.1 24.21 0.1 24.05 0.1 23.11 0.1 22.91 0.1 23.06 0.2 9999.0 9999.0 9999.0 9999.0 9999 9999 1.725
Q1603-BX19 25.16 0.12 24.49 0.1 24.52 0.1 23.39 0.1 23.32 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999 9999 1.952
Q1603-BX190 24.88 0.11 23.98 0.1 23.68 0.1 22.7 0.1 22.27 0.1 22.1 0.1 9999.0 9999.0 22.69 0.1 9999 9999 2.022
Q1603-BX191 25.62 0.22 24.87 0.1 24.65 0.1 24.04 0.14 22.1 0.1 21.05 0.1 9999.0 9999.0 22.97 0.1 9999 9999 2.545
Q1603-BX195 24.9 0.12 24.42 0.1 24.26 0.1 23.66 0.15 23.65 0.17 24.13 0.32 22.61 0.44 9999.0 9999.0 9999 9999 1.779
Q1603-BX201 23.92 0.1 23.4 0.1 23.33 0.1 22.64 0.1 22.6 0.1 22.25 0.1 9999.0 9999.0 9999.0 9999.0 9999 9999 1.832
Q1603-BX202 24.87 0.11 24.48 0.1 24.42 0.1 23.36 0.11 24.82 0.46 24.17 0.27 9999.0 9999.0 9999.0 9999.0 9999 9999 1.89
Q1603-BX205 25.86 0.22 25.1 0.1 24.68 0.1 22.71 0.1 22.8 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999 9999 2.208
Q1603-BX206 25.75 0.25 24.77 0.1 24.26 0.1 23.51 0.12 23.14 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999 9999 2.277
Q1603-BX21 25.95 0.22 24.81 0.1 24.59 0.1 23.27 0.1 22.92 0.1 22.46 0.41 9999.0 9999.0 9999.0 9999.0 9999 9999 2.179
Q1603-BX211 25.45 0.17 24.67 0.1 24.41 0.1 23.33 0.1 22.68 0.1 22.69 0.16 9999.0 9999.0 9999.0 9999.0 9999 9999 2.276
Q1603-BX213 24.09 0.1 23.66 0.1 23.56 0.1 22.38 0.1 22.69 0.1 22.62 0.15 9999.0 9999.0 9999.0 9999.0 9999 9999 1.704
Q1603-BX216 26.0 0.33 24.56 0.1 23.95 0.1 22.44 0.1 21.92 0.1 21.56 0.1 9999.0 9999.0 9999.0 9999.0 9999 9999 2.446
Q1603-BX223 24.03 0.1 23.44 0.1 23.09 0.1 21.76 0.1 21.48 0.1 21.12 0.1 21.05 0.12 9999.0 9999.0 9999 9999 1.535
